AR0001*	U+09FC4[U]
JA4646	U+09818[U]
JA4647	U+0529B[U]
JA4648	U+07DD1[U]
JA4649	U+0502B[U]
JA4650	U+05398[U]
JA4651	U+06797[U]
JA4652	U+06DCB[U]
JA4653	U+071D0[U]	U+071D0[19]
JA4654	U+07433[U]
JA4655	U+081E8[U]
JA4656	U+08F2A[U]
JA4657	U+096A3[U]	U+096A3[20]
JA4658	U+09C57[U]	U+09C57[19]
JA4659*	U+09E9F[U]	U+09E9F[20]
JA4659S	=JA4659*
JA4660	U+07460[U]
JA4661	U+05841[U]
JA4662	U+06D99[U]
JA4663	U+07D2F[U]
JA4664	U+0985E[U]
JA4665	U+04EE4[U]
JA4666	U+04F36[U]	U+04F36[18]
JA4667	U+04F8B[U]
JA4668	U+051B7[U]
JA4669	U+052B1[U]
JA4670	U+05DBA[U]
JA4671	U+0601C[U]
JA4672	U+073B2[U]
JA4673	U+0793C[U]
JA4674	U+082D3[U]	U+082D3[18]
JA4675	U+09234[U]
JA4676	U+096B7[U]
JA4677	U+096F6[U]
JA4678	U+0970A[U]
JA4679	U+09E97[U]	U+09E97[19]
JA4680	U+09F62[U]
JA4681	U+066A6[U]
JA4682	U+06B74[U]
JA4683	U+05217[U]
JA4684	U+052A3[U]
JA4685	U+070C8[U]
JA4686	U+088C2[U]
JA4687	U+05EC9[U]	U+05EC9[19]
JA4688	U+0604B[U]
JA4689	U+06190[U]	U+06190[19]
JA4690	U+06F23[U]	U+06F23[19]
JA4691	U+07149[U]	U+07149[19]
JA4692	U+07C3E[U]	U+07C3E[20]
JA4693	U+07DF4[U]
JA4694	U+0806F[U]
JA4701	U+084EE[U]	U+084EE[19]
JA4702	U+09023[U]	U+09023[19]
JA4703	U+0932C[U]
JA4704	U+05442[U]
JA4705	U+09B6F[U]
JA4706	U+06AD3[U]
JA4707	U+07089[U]	U+07089[18]
JA4708	U+08CC2[U]
JA4709	U+08DEF[U]
JA4710	U+09732[U]
JA4711	U+052B4[U]
JA4712*	U+05A41[U]
JA4712S	=JA4712*
JA4713	U+05ECA[U]
JA4714	U+05F04[U]
JA4715	U+06717[U]	U+06717[21]
JA4716	U+0697C[U]
JA4717	U+06994[U]	U+06994[19]
JA4718	U+06D6A[U]
JA4719	U+06F0F[U]
JA4720	U+07262[U]
JA4721	U+072FC[U]
JA4722	U+07BED[U]
JA4723	U+08001[U]
JA4724	U+0807E[U]	U+0807E[19]
JA4725	U+0874B[U]
JA4726	U+090CE[U]
JA4727	U+0516D[U]
JA4728	U+09E93[U]
JA4729	U+07984[U]	U+07984[18]
JA4730	U+0808B[U]
JA4731	U+09332[U]
JA4732	U+08AD6[U]
JA4733*	U+0502D[U]
JA4733S	=JA4733*
JA4734	U+0548C[U]
JA4735	U+08A71[U]
JA4736	U+06B6A[U]
JA4737	U+08CC4[U]
JA4738	U+08107[U]
JA4739	U+060D1[U]
JA4740	U+067A0[U]
JA4741	U+09DF2[U]
JA4742	U+04E99[U]
JA4743	U+04E98[U]
JA4744	U+09C10[U]	U+09C10[18]
JA4745	U+08A6B[U]
JA4746	U+085C1[U]	U+085C1[18]
JA4747	U+08568[U]	U+08568[18]
JA4748	U+06900[U]
JA4749	U+06E7E[U]
JA4750	U+07897[U]
JA4751	U+08155[U]
JA4801	U+05F0C[U]
JA4802	U+04E10[U]
JA4803*	U+04E15[U]
JA4803S	=JA4803*
JA4804	U+04E2A[U]
JA4805	U+04E31[U]
JA4806	U+04E36[U]
JA4807	U+04E3C[U]
JA4808	U+04E3F[U]
JA4809*	U+04E42[U]
JA4810	U+04E56[U]
JA4811	U+04E58[U]
JA4812	U+04E82[U]
JA4813	U+04E85[U]
JA4814	U+08C6B[U]	U+08C6B[18]
JA4815	U+04E8A[U]
JA4816	U+08212[U]	U+08212[18]
JA4817	U+05F0D[U]	U+05F0D[18]
JA4818	U+04E8E[U]
JA4819	U+04E9E[U]
JA4820	U+04E9F[U]
JA4821	U+04EA0[U]
JA4822	U+04EA2[U]
JA4823	U+04EB0[U]
JA4824*	U+04EB3[U]
JA4824S	=JA4824*
JA4825	U+04EB6[U]	U+04EB6[18]
JA4826	U+04ECE[U]
JA4827	U+04ECD[U]
JA4828	U+04EC4[U]
JA4829	U+04EC6[U]
JA4830	U+04EC2[U]
JA4831*	U+04ED7[U]
JA4832	U+04EDE[U]	U+04EDE[18]
JA4833*	U+04EED[U]
JA4833SS	=JA4833*
JA4834	U+04EDF[U]
JA4835	U+04EF7[U]
JA4836	U+04F09[U]
JA4837	U+04F5A[U]
JA4838	U+04F30[U]
JA4839	U+04F5B[U]
JA4840	U+04F5D[U]
JA4841	U+04F57[U]
JA4842	U+04F47[U]
JA4843	U+04F76[U]
JA4844	U+04F88[U]
JA4845	U+04F8F[U]
JA4846	U+04F98[U]
JA4847	U+04F7B[U]
JA4848	U+04F69[U]
JA4849	U+04F70[U]
JA4850	U+04F91[U]
JA4851	U+04F6F[U]
JA4852	U+04F86[U]
JA4853	U+04F96[U]
JA4854	U+05118[U]
JA4855*	U+04FD4[U]
JA4855S	=JA4855*
JA4856	U+04FDF[U]
JA4857	U+04FCE[U]
JA4858	U+04FD8[U]
JA4859*	U+04FDB[U]
JA4859S	=JA4859*
JA4860	U+04FD1[U]
JA4861	U+04FDA[U]
JA4862	U+04FD0[U]
JA4863	U+04FE4[U]
JA4864	U+04FE5[U]
JA4865	U+0501A[U]
JA4866	U+05028[U]
JA4867	U+05014[U]
JA4868*	U+0502A[U]
JA4868S	=JA4868*
JA4869	U+05025[U]	U+05025[18]
JA4870	U+05005[U]
JA4871	U+04F1C[U]
JA4872	U+04FF6[U]
JA4873	U+05021[U]
JA4874	U+05029[U]	U+05029[18]
JA4875	U+0502C[U]
JA4876	U+04FFE[U]
JA4877	U+04FEF[U]
JA4878	U+05011[U]
JA4879	U+05006[U]
JA4880*	U+05043[U]
JA4880S	=JA4880*
JA4881	U+05047[U]
JA4882	U+06703[U]
JA4883	U+05055[U]
JA4884	U+05050[U]
JA4885	U+05048[U]
JA4886*	U+0505A[U]
JA4886S	=JA4886*
JA4887*	U+05056[U]
JA4887S	=JA4887*
JA4888	U+0506C[U]
JA4889	U+05078[U]
JA4890*	U+05080[U]
JA4890S	=JA4890*
JA4891*	U+0509A[U]
JA4891S	=JA4891*
JA4892	U+05085[U]	U+05085[19]
JA4893	U+050B4[U]
JA4894	U+050B2[U]
JA4901	U+050C9[U]
JA4902	U+050CA[U]	U+050CA[20]
JA4903	U+050B3[U]	U+050B3[18]
JA4904*	U+050C2[U]
JA4904S	=JA4904*
JA4905	U+050D6[U]
JA4906	U+050DE[U]
JA4907	U+050E5[U]
JA4908	U+050ED[U]	U+050ED[19]
JA4909	U+050E3[U]
JA4910	U+050EE[U]	U+050EE[18]
JA4911	U+050F9[U]
JA4912	U+050F5[U]
JA4913	U+05109[U]
JA4914	U+05101[U]
JA4915	U+05102[U]
JA4916	U+05116[U]
JA4917	U+05115[U]
JA4918	U+05114[U]
JA4919	U+0511A[U]	U+0511A[19]
JA4920	U+05121[U]
JA4921	U+0513A[U]
JA4922	U+05137[U]
JA4923*	U+0513C[U]
JA4923S	=JA4923*
JA4924	U+0513B[U]
JA4925	U+0513F[U]
JA4926	U+05140[U]
JA4927*	U+05152[U]
JA4927S	=JA4927*
JA4928*	U+0514C[U]	U+0514C[18]
JA4928S	=JA4928*
JA4929*	U+05154[U]	U+05154[20]
JA4929S	=JA4929*
JA4930*	U+05162[U]
JA4930S	=JA4930*
JA4931*	U+07AF8[U]
JA4931S	=JA4931*
JA4932	U+05169[U]
JA4933	U+0516A[U]
JA4934	U+0516E[U]	U+0516E[18]
JA4935	U+05180[U]
JA4936	U+05182[U]
JA4937	U+056D8[U]
JA4938	U+0518C[U]
JA4939	U+05189[U]	U+05189[19]
JA4940*	U+0518F[U]
JA4940S	=JA4940*
JA4941	U+05191[U]
JA4942	U+05193[U]	U+05193[19]
JA4943*	U+05195[U]	U+05195[20]
JA4943S	=JA4943*
JA4944	U+05196[U]
JA4945	U+051A4[U]	U+051A4[19]
JA4946	U+051A6[U]
JA4947	U+051A2[U]	U+051A2[18]
JA4948	U+051A9[U]
JA4949	U+051AA[U]	U+051AA[18]
JA4950	U+051AB[U]
JA4951	U+051B3[U]
JA4952	U+051B1[U]
JA4953	U+051B2[U]
JA4954	U+051B0[U]
JA4955*	U+051B5[U]	U+051B5[18]
JA4955S	=JA4955*
JA4956	U+051BD[U]
JA4957	U+051C5[U]
JA4958	U+051C9[U]
JA4959	U+051DB[U]
JA4960	U+051E0[U]
JA4961*	U+08655[U]
JA4961S	=JA4961*
JA4962	U+051E9[U]
JA4963	U+051ED[U]
JA4964	U+051F0[U]
JA4965	U+051F5[U]
JA4966	U+051FE[U]
JA4967*	U+05204[U]
JA4968	U+0520B[U]
JA4969	U+05214[U]
JA4970	U+0520E[U]
JA4971*	U+05227[U]
JA4971S	=JA4971*
JA4972	U+0522A[U]
JA4973	U+0522E[U]
JA4974	U+05233[U]
JA4975	U+05239[U]
JA4976*	U+0524F[U]
JA4977	U+05244[U]
JA4978	U+0524B[U]
JA4979	U+0524C[U]
JA4980	U+0525E[U]
JA4981*	U+05254[U]
JA4981S	=JA4981*
JA4982	U+0526A[U]
JA4983	U+05274[U]
JA4984	U+05269[U]
JA4985	U+05273[U]	U+05273[18]
JA4986	U+0527F[U]
JA4987	U+0527D[U]
JA4988	U+0528D[U]
JA4989*	U+05294[U]
JA4990	U+05292[U]	U+05292[18]
JA4991*	U+05271[U]
JA4992	U+05288[U]
JA4993*	U+05291[U]
JA4993S	=JA4993*
JA4994*	U+08FA8[U]	U+08FA8[18]
JA4994S	=JA4994*
JA5001	U+08FA7[U]
JA5002	U+052AC[U]
JA5003	U+052AD[U]
JA5004	U+052BC[U]
JA5005	U+052B5[U]	U+052B5[18]
JA5006	U+052C1[U]
JA5007	U+052CD[U]
JA5008	U+052D7[U]	U+052D7[19]
JA5009	U+052DE[U]
JA5010	U+052E3[U]
JA5011*	U+052E6[U]	U+052E6[18]
JA5011S	=JA5011*
JA5012	U+098ED[U]	U+098ED[18]
JA5013	U+052E0[U]	U+052E0[18]
JA5014	U+052F3[U]	U+052F3[18]
JA5015	U+052F5[U]	U+052F5[18]
JA5016	U+052F8[U]	U+052F8[18]
JA5017	U+052F9[U]
JA5018	U+05306[U]
JA5019	U+05308[U]
JA5020	U+07538[U]
JA5021	U+0530D[U]
JA5022	U+05310[U]
JA5023	U+0530F[U]
JA5024	U+05315[U]
JA5025	U+0531A[U]
JA5026	U+05323[U]
JA5027	U+0532F[U]
JA5028	U+05331[U]
JA5029	U+05333[U]
JA5030	U+05338[U]
JA5031	U+05340[U]	U+05340[19]
JA5032	U+05346[U]
JA5033	U+05345[U]
JA5034	U+04E17[U]
JA5035	U+05349[U]
JA5036	U+0534D[U]
JA5037	U+051D6[U]
JA5038	U+0535E[U]	U+0535E[18]
JA5039	U+05369[U]
JA5040*	U+0536E[U]
JA5040S	=JA5040*
JA5041	U+05918[U]
JA5042	U+0537B[U]
JA5043*	U+05377[U]	U+05377[18]
JA5043S	=JA5043*
JA5044	U+05382[U]
JA5045	U+05396[U]	U+05396[18]
JA5046	U+053A0[U]
JA5047	U+053A6[U]
JA5048	U+053A5[U]
JA5049	U+053AE[U]
JA5050	U+053B0[U]
JA5051	U+053B6[U]
JA5052	U+053C3[U]
JA5053	U+07C12[U]
JA5054	U+096D9[U]
JA5055	U+053DF[U]	U+053DF[19]
JA5056	U+066FC[U]	U+066FC[19]
JA5057	U+071EE[U]
JA5058	U+053EE[U]
JA5059*	U+053E8[U]
JA5059S	=JA5059*
JA5060*	U+053ED[U]
JA5060S	=JA5060*
JA5061*	U+053FA[U]
JA5061S	=JA5061*
JA5062	U+05401[U]
JA5063	U+0543D[U]
JA5064	U+05440[U]	U+05440[19]
JA5065	U+0542C[U]
JA5066	U+0542D[U]
JA5067	U+0543C[U]
JA5068	U+0542E[U]
JA5069	U+05436[U]
JA5070*	U+05429[U]
JA5070SS	=JA5070*
JA5071*	U+0541D[U]
JA5071SS	=JA5071*
JA5072	U+0544E[U]
JA5073	U+0548F[U]
JA5074	U+05475[U]
JA5075	U+0548E[U]
JA5076	U+0545F[U]
JA5077*	U+05471[U]	U+05471[18]
JA5077S	=JA5077*
JA5078	U+05477[U]
JA5079	U+05470[U]
JA5080	U+05492[U]
JA5081	U+0547B[U]
JA5082	U+05480[U]
JA5083	U+05476[U]
JA5084	U+05484[U]
JA5085	U+05490[U]
JA5086	U+05486[U]
JA5087	U+054C7[U]
JA5088	U+054A2[U]
JA5089	U+054B8[U]
JA5090	U+054A5[U]
JA5091*	U+054AC[U]
JA5092	U+054C4[U]
JA5093	U+054C8[U]
JA5094	U+054A8[U]
JA5101	U+054AB[U]
JA5102	U+054C2[U]
JA5103	U+054A4[U]
JA5104	U+054BE[U]
JA5105	U+054BC[U]
JA5106	U+054D8[U]
JA5107	U+054E5[U]
JA5108	U+054E6[U]
JA5109*	U+0550F[U]
JA5109S	=JA5109*
JA5110	U+05514[U]
JA5111*	U+054FD[U]
JA5112	U+054EE[U]
JA5113	U+054ED[U]
JA5114	U+054FA[U]
JA5115	U+054E2[U]
JA5116*	U+05539[U]	U+05539[19]
JA5116S	=JA5116*
JA5117	U+05540[U]
JA5118	U+05563[U]
JA5119	U+0554C[U]
JA5120	U+0552E[U]
JA5121	U+0555C[U]
JA5122	U+05545[U]
JA5123	U+05556[U]
JA5124	U+05557[U]
JA5125	U+05538[U]
JA5126	U+05533[U]	U+05533[20]
JA5127	U+0555D[U]
JA5128	U+05599[U]
JA5129	U+05580[U]
JA5130	U+054AF[U]
JA5131*	U+0558A[U]
JA5131S	=JA5131*
JA5132	U+0559F[U]
JA5133	U+0557B[U]
JA5134	U+0557E[U]
JA5135	U+05598[U]
JA5136	U+0559E[U]	U+0559E[18]
JA5137	U+055AE[U]
JA5138	U+0557C[U]	U+0557C[18]
JA5139	U+05583[U]
JA5140	U+055A9[U]	U+055A9[20]
JA5141	U+05587[U]
JA5142	U+055A8[U]	U+055A8[18]
JA5143	U+055DA[U]
JA5144	U+055C5[U]
JA5145	U+055DF[U]
JA5146	U+055C4[U]
JA5147	U+055DC[U]
JA5148*	U+055E4[U]	U+055E4[20]
JA5148S	=JA5148*
JA5149	U+055D4[U]
JA5150	U+05614[U]	U+05614[18]
JA5151*	U+055F7[U]
JA5151S	=JA5151*
JA5152	U+05616[U]
JA5153*	U+055FE[U]
JA5153S	=JA5153*
JA5154	U+055FD[U]
JA5155	U+0561B[U]	U+0561B[18]
JA5156	U+055F9[U]	U+055F9[18]
JA5157	U+0564E[U]
JA5158	U+05650[U]
JA5159	U+071DF[U]
JA5160	U+05634[U]
JA5161	U+05636[U]
JA5162	U+05632[U]	U+05632[19]
JA5163	U+05638[U]
JA5164	U+0566B[U]	U+0566B[18]
JA5165	U+05664[U]
JA5166	U+0562F[U]
JA5167	U+0566C[U]
JA5168	U+0566A[U]
JA5169	U+05686[U]	U+05686[18]
JA5170	U+05680[U]
JA5171	U+0568A[U]
JA5172	U+056A0[U]
JA5173	U+05694[U]
JA5174	U+0568F[U]
JA5175	U+056A5[U]
JA5176	U+056AE[U]	U+056AE[21]
JA5177	U+056B6[U]
JA5178	U+056B4[U]
JA5179	U+056C2[U]
JA5180	U+056BC[U]
JA5181	U+056C1[U]
JA5182	U+056C3[U]
JA5183	U+056C0[U]	U+056C0[19]
JA5184	U+056C8[U]	U+056C8[18]
JA5185	U+056CE[U]
JA5186*	U+056D1[U]
JA5186S	=JA5186*
JA5187*	U+056D3[U]	U+056D3[18]
JA5187S	=JA5187*
JA5188	U+056D7[U]
JA5189	U+056EE[U]
JA5190	U+056F9[U]
JA5191	U+05700[U]
JA5192	U+056FF[U]
JA5193	U+05704[U]
JA5194	U+05709[U]
JA5201*	U+05708[U]	U+05708[18]
JA5201S	=JA5201*
JA5202	U+0570B[U]
JA5203*	U+0570D[U]	U+0570D[19]
JA5203S	=JA5203*
JA5204	U+05713[U]
JA5205	U+05718[U]
JA5206	U+05716[U]	U+05716[18]
JA5207	U+055C7[U]
JA5208	U+0571C[U]
JA5209*	U+05726[U]
JA5209S	=JA5209*
JA5210	U+05737[U]
JA5211	U+05738[U]
JA5212	U+0574E[U]
JA5213	U+0573B[U]
JA5214	U+05740[U]
JA5215*	U+0574F[U]
JA5215S	=JA5215*
JA5216	U+05769[U]
JA5217	U+057C0[U]
JA5218	U+05788[U]
JA5219	U+05761[U]
JA5220	U+0577F[U]
JA5221	U+05789[U]	U+05789[18]
JA5222	U+05793[U]	U+05793[18]
JA5223	U+057A0[U]
JA5224*	U+057B3[U]
JA5224S	=JA5224*
JA5225	U+057A4[U]
JA5226	U+057AA[U]
JA5227	U+057B0[U]
JA5228	U+057C3[U]
JA5229	U+057C6[U]
JA5230	U+057D4[U]
JA5231	U+057D2[U]	U+057D2[18]
JA5232	U+057D3[U]	U+057D3[18]
JA5233	U+0580A[U]
JA5234	U+057D6[U]
JA5235	U+057E3[U]
JA5236	U+0580B[U]
JA5237	U+05819[U]
JA5238	U+0581D[U]
JA5239	U+05872[U]
JA5240*	U+05821[U]
JA5240S	=JA5240*
JA5241	U+05862[U]
JA5242	U+0584B[U]
JA5243	U+05870[U]	U+05870[18]
JA5244	U+06BC0[U]
JA5245	U+05852[U]
JA5246	U+0583D[U]
JA5247	U+05879[U]
JA5248	U+05885[U]
JA5249	U+058B9[U]
JA5250	U+0589F[U]	U+0589F[18]
JA5251	U+058AB[U]	U+058AB[19]
JA5252	U+058BA[U]	U+058BA[18]
JA5253	U+058DE[U]
JA5254	U+058BB[U]
JA5255	U+058B8[U]
JA5256	U+058AE[U]
JA5257	U+058C5[U]
JA5258	U+058D3[U]
JA5259	U+058D1[U]
JA5260	U+058D7[U]
JA5261	U+058D9[U]	U+058D9[18]
JA5262	U+058D8[U]
JA5263	U+058E5[U]
JA5264	U+058DC[U]
JA5265	U+058E4[U]
JA5266	U+058DF[U]	U+058DF[18]
JA5267	U+058EF[U]
JA5268	U+058FA[U]
JA5269	U+058F9[U]
JA5270	U+058FB[U]
JA5271	U+058FC[U]
JA5272	U+058FD[U]
JA5273	U+05902[U]
JA5274*	U+0590A[U]
JA5275	U+05910[U]
JA5276	U+0591B[U]	U+0591B[19]
JA5277*	U+068A6[U]
JA5277S	=JA5277*
JA5278	U+05925[U]
JA5279	U+0592C[U]
JA5280	U+0592D[U]
JA5281	U+05932[U]
JA5282	U+05938[U]
JA5283	U+0593E[U]
JA5284	U+07AD2[U]
JA5285	U+05955[U]
JA5286	U+05950[U]
JA5287	U+0594E[U]
JA5288	U+0595A[U]
JA5289	U+05958[U]
JA5290	U+05962[U]
JA5291	U+05960[U]	U+05960[19]
JA5292	U+05967[U]
JA5293	U+0596C[U]
JA5294*	U+05969[U]
JA5294S	=JA5294*
JA5301	U+05978[U]
JA5302	U+05981[U]
JA5303*	U+0599D[U]
JA5303S	=JA5303*
JA5304	U+04F5E[U]
JA5305*	U+04FAB[U]
JA5305S	=JA5305*
JA5306	U+059A3[U]
JA5307	U+059B2[U]
JA5308	U+059C6[U]
JA5309	U+059E8[U]
JA5310*	U+059DC[U]
JA5310S	=JA5310*
JA5311	U+0598D[U]
JA5312	U+059D9[U]
JA5313	U+059DA[U]
JA5314	U+05A25[U]
JA5315	U+05A1F[U]
JA5316	U+05A11[U]
JA5317	U+05A1C[U]	U+05A1C[19]
JA5318	U+05A09[U]
JA5319	U+05A1A[U]
JA5320	U+05A40[U]
JA5321	U+05A6C[U]
JA5322	U+05A49[U]
JA5323*	U+05A35[U]
JA5323S	=JA5323*
JA5324	U+05A36[U]
JA5325	U+05A62[U]
JA5326*	U+05A6A[U]
JA5326S	=JA5326*
JA5327	U+05A9A[U]
JA5328	U+05ABC[U]
JA5329	U+05ABE[U]	U+05ABE[20]
JA5330	U+05ACB[U]
JA5331	U+05AC2[U]	U+05AC2[19]
JA5332	U+05ABD[U]
JA5333	U+05AE3[U]
JA5334	U+05AD7[U]	U+05AD7[18]
JA5335	U+05AE6[U]
JA5336*	U+05AE9[U]
JA5336S	=JA5336*
JA5337	U+05AD6[U]
JA5338	U+05AFA[U]
JA5339	U+05AFB[U]
JA5340	U+05B0C[U]
JA5341	U+05B0B[U]
JA5342	U+05B16[U]
JA5343	U+05B32[U]
JA5344	U+05AD0[U]
JA5345	U+05B2A[U]
JA5346	U+05B36[U]
JA5347	U+05B3E[U]
JA5348	U+05B43[U]
JA5349	U+05B45[U]
JA5350	U+05B40[U]
JA5351	U+05B51[U]
JA5352	U+05B55[U]
JA5353	U+05B5A[U]	U+05B5A[19]
JA5354	U+05B5B[U]
JA5355	U+05B65[U]
JA5356	U+05B69[U]	U+05B69[18]
JA5357	U+05B70[U]
JA5358	U+05B73[U]	U+05B73[19]
JA5359	U+05B75[U]
JA5360	U+05B78[U]
JA5361*	U+06588[U]
JA5361SS	=JA5361*
JA5362	U+05B7A[U]
JA5363	U+05B80[U]
JA5364	U+05B83[U]
JA5365	U+05BA6[U]
JA5366	U+05BB8[U]
JA5367*	U+05BC3[U]	U+05BC3[19]
JA5367S	=JA5367*
JA5368	U+05BC7[U]
JA5369	U+05BC9[U]
JA5370	U+05BD4[U]
JA5371*	U+05BD0[U]
JA5371S	=JA5371*
JA5372	U+05BE4[U]
JA5373	U+05BE6[U]
JA5374	U+05BE2[U]	U+05BE2[18]
JA5375*	U+05BDE[U]	U+05BDE[18]
JA5375S	=JA5375*
JA5376	U+05BE5[U]	U+05BE5[18]
JA5377	U+05BEB[U]
JA5378	U+05BF0[U]
JA5379	U+05BF6[U]
JA5380	U+05BF3[U]
JA5381*	U+05C05[U]
JA5381S	=JA5381*
JA5382	U+05C07[U]	U+05C07[18]
JA5383	U+05C08[U]	U+05C08[18]
JA5384	U+05C0D[U]
JA5385*	U+05C13[U]
JA5385S	=JA5385*
JA5386	U+05C20[U]
JA5387	U+05C22[U]
JA5388	U+05C28[U]	U+05C28[19]
JA5389	U+05C38[U]
JA5390	U+05C39[U]
JA5391	U+05C41[U]
JA5392	U+05C46[U]	U+05C46[18]
JA5393	U+05C4E[U]
JA5394	U+05C53[U]	U+05C53[18]
JA5401	U+05C50[U]
JA5402	U+05C4F[U]
JA5403	U+05B71[U]
JA5404	U+05C6C[U]
JA5405	U+05C6E[U]
JA5406	U+04E62[U]
JA5407	U+05C76[U]
JA5408	U+05C79[U]
JA5409	U+05C8C[U]	U+05C8C[18]
JA5410	U+05C91[U]
JA5411*	U+05C94[U]
JA5411S	=JA5411*
JA5412	U+0599B[U]
JA5413	U+05CAB[U]
JA5414	U+05CBB[U]
JA5415	U+05CB6[U]
JA5416	U+05CBC[U]	U+05CBC[18]
JA5417	U+05CB7[U]
JA5418	U+05CC5[U]
JA5419	U+05CBE[U]
JA5420	U+05CC7[U]
JA5421	U+05CD9[U]
JA5422	U+05CE9[U]
JA5423	U+05CFD[U]
JA5424*	U+05CFA[U]
JA5425	U+05CED[U]	U+05CED[18]
JA5426	U+05D8C[U]
JA5427	U+05CEA[U]
JA5428	U+05D0B[U]
JA5429	U+05D15[U]
JA5430	U+05D17[U]
JA5431	U+05D5C[U]
JA5432	U+05D1F[U]
JA5433	U+05D1B[U]
JA5434	U+05D11[U]
JA5435	U+05D14[U]
JA5436	U+05D22[U]
JA5437*	U+05D1A[U]	U+05D1A[18]
JA5437S	=JA5437*
JA5438	U+05D19[U]
JA5439	U+05D18[U]
JA5440	U+05D4C[U]
JA5441	U+05D52[U]
JA5442	U+05D4E[U]
JA5443	U+05D4B[U]
JA5444	U+05D6C[U]
JA5445	U+05D73[U]
JA5446*	U+05D76[U]
JA5446S	=JA5446*
JA5447	U+05D87[U]	U+05D87[19]
JA5448	U+05D84[U]
JA5449	U+05D82[U]	U+05D82[18]
JA5450	U+05DA2[U]
JA5451	U+05D9D[U]
JA5452	U+05DAC[U]
JA5453	U+05DAE[U]
JA5454	U+05DBD[U]
JA5455*	U+05D90[U]	U+05D90[18]
JA5455S	=JA5455*
JA5456	U+05DB7[U]
JA5457	U+05DBC[U]
JA5458*	U+05DC9[U]
JA5458S	=JA5458*
JA5459*	U+05DCD[U]
JA5459S	=JA5459*
JA5460	U+05DD3[U]
JA5461	U+05DD2[U]
JA5462	U+05DD6[U]
JA5463	U+05DDB[U]
JA5464	U+05DEB[U]
JA5465	U+05DF2[U]
JA5466	U+05DF5[U]
JA5467*	U+05E0B[U]
JA5467S	=JA5467*
JA5468	U+05E1A[U]
JA5469	U+05E19[U]
JA5470	U+05E11[U]
JA5471	U+05E1B[U]
JA5472	U+05E36[U]
JA5473	U+05E37[U]
JA5474	U+05E44[U]
JA5475*	U+05E43[U]
JA5475S	=JA5475*
JA5476	U+05E40[U]
JA5477	U+05E4E[U]
JA5478	U+05E57[U]
JA5479	U+05E54[U]
JA5480	U+05E5F[U]	U+05E5F[18]
JA5481	U+05E62[U]	U+05E62[18]
JA5482	U+05E64[U]	U+05E64[19]
JA5483	U+05E47[U]
JA5484	U+05E75[U]
JA5485	U+05E76[U]
JA5486	U+05E7A[U]
JA5487	U+09EBC[U]	U+09EBC[18]
JA5488	U+05E7F[U]
JA5489	U+05EA0[U]
JA5490	U+05EC1[U]
JA5491	U+05EC2[U]
JA5492*	U+05EC8[U]
JA5492S	=JA5492*
JA5493	U+05ED0[U]	U+05ED0[19]
JA5494	U+05ECF[U]	U+05ECF[19]
JA5501	U+05ED6[U]	U+05ED6[18]
JA5502*	U+05EE3[U]	U+05EE3[20]
JA5502S	=JA5502*
JA5503	U+05EDD[U]
JA5504	U+05EDA[U]
JA5505	U+05EDB[U]
JA5506	U+05EE2[U]
JA5507	U+05EE1[U]
JA5508	U+05EE8[U]
JA5509	U+05EE9[U]
JA5510	U+05EEC[U]
JA5511	U+05EF1[U]
JA5512	U+05EF3[U]
JA5513	U+05EF0[U]
JA5514*	U+05EF4[U]
JA5515*	U+05EF8[U]
JA5516	U+05EFE[U]	U+05EFE[18]
JA5517	U+05F03[U]
JA5518	U+05F09[U]
JA5519	U+05F5D[U]
JA5520	U+05F5C[U]	U+05F5C[18]
JA5521	U+05F0B[U]
JA5522	U+05F11[U]
JA5523	U+05F16[U]	U+05F16[18]
JA5524	U+05F29[U]
JA5525	U+05F2D[U]
JA5526	U+05F38[U]	U+05F38[19]
JA5527	U+05F41[U]
JA5528	U+05F48[U]
JA5529	U+05F4C[U]	U+05F4C[18]
JA5530	U+05F4E[U]
JA5531	U+05F2F[U]
JA5532	U+05F51[U]
JA5533	U+05F56[U]	U+05F56[18]
JA5534	U+05F57[U]	U+05F57[18]
JA5535	U+05F59[U]
JA5536	U+05F61[U]
JA5537	U+05F6D[U]
JA5538	U+05F73[U]
JA5539	U+05F77[U]
JA5540	U+05F83[U]
JA5541	U+05F82[U]
JA5542*	U+05F7F[U]
JA5542S	=JA5542*
JA5543	U+05F8A[U]
JA5544	U+05F88[U]
JA5545	U+05F91[U]
JA5546	U+05F87[U]
JA5547	U+05F9E[U]	U+05F9E[18]
JA5548	U+05F99[U]
JA5549*	U+05F98[U]
JA5550	U+05FA0[U]
JA5551	U+05FA8[U]
JA5552	U+05FAD[U]
JA5553*	U+05FBC[U]
JA5553S	=JA5553*
JA5554	U+05FD6[U]
JA5555	U+05FFB[U]
JA5556	U+05FE4[U]
JA5557	U+05FF8[U]
JA5558	U+05FF1[U]
JA5559*	U+05FDD[U]
JA5559S	=JA5559*
JA5560	U+060B3[U]
JA5561*	U+05FFF[U]
JA5561S	=JA5561*
JA5562	U+06021[U]
JA5563*	U+06060[U]
JA5563S	=JA5563*
JA5564	U+06019[U]
JA5565	U+06010[U]
JA5566	U+06029[U]
JA5567	U+0600E[U]
JA5568*	U+06031[U]
JA5568S	=JA5568*
